N,button_coverage,dead_repeat_rate,family,file,game,length,level,longest_streak,mean_first_try,nochange_rate,novel_alt_frac,novel_frac,outcome,retry,run,solved,valid_coverage
10,0.4,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,70,2,5,8.0,0.0,0.3,0.2,died,2,arc3-job8-commit-prompt,False,0.4
20,0.4,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,70,2,9,14.0,0.0,0.15,0.1,died,2,arc3-job8-commit-prompt,False,0.4
40,0.8,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,70,2,18,23.8,0.0,0.15,0.1,died,2,arc3-job8-commit-prompt,False,0.8
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,70,2,,,,,,died,,arc3-job8-commit-prompt,False,
10,0.8,0.1,Flash-Next (Kaggle),wa30-ee6fef47_p3_events.jsonl,wa30,39,1,4,7.0,0.2,0.4,0.4,solved,0,arc3-job8-commit-prompt,True,0.8
20,1.0,0.3,Flash-Next (Kaggle),wa30-ee6fef47_p3_events.jsonl,wa30,39,1,4,7.2,0.1,0.25,0.25,solved,0,arc3-job8-commit-prompt,True,1.0
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p3_events.jsonl,wa30,39,1,,,,,,solved,,arc3-job8-commit-prompt,True,
10,0.4,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p3_events.jsonl,wa30,13,2,5,8.0,0.0,0.3,0.2,truncated,0,arc3-job8-commit-prompt,False,0.4
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p3_events.jsonl,wa30,13,2,,,,,,truncated,,arc3-job8-commit-prompt,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,55,1,3,5.25,0.0,0.5,0.7,solved,0,arc3-job9-visual-first,True,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,55,1,3,7.75,0.0,0.7,0.7,solved,0,arc3-job9-visual-first,True,0.75
40,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,55,1,5,12.75,0.0,0.5,0.5,solved,0,arc3-job9-visual-first,True,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,55,1,,,,,,solved,,arc3-job9-visual-first,True,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,9,2,,,,,,died,,arc3-job9-visual-first,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,35,1,6,5.75,0.0,0.4,0.3,solved,0,arc3-job9-visual-first,True,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,35,1,6,8.25,0.0,0.45,0.35,solved,0,arc3-job9-visual-first,True,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,35,1,,,,,,solved,,arc3-job9-visual-first,True,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,9,2,,,,,,died,,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,4,2,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,51,1,1,4.75,0.0,0.9,1.0,solved,0,arc3-job9-visual-first,True,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,51,1,6,7.25,0.0,0.6,0.5,solved,0,arc3-job9-visual-first,True,0.75
40,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,51,1,6,12.25,0.0,0.45,0.425,solved,0,arc3-job9-visual-first,True,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,51,1,,,,,,solved,,arc3-job9-visual-first,True,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,3,2,,,,,,died,,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,4,2,,,,,,died,,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,3,2,,,,,,died,,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,5,2,,,,,,died,,arc3-job9-visual-first,False,
10,0.3333333333333333,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p3_events.jsonl,bp35,23,1,2,6.5,0.0,0.8,0.9,truncated,0,arc3-job9-visual-first,False,0.5
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p3_events.jsonl,bp35,23,1,4,9.5,0.0,0.6,0.55,truncated,0,arc3-job9-visual-first,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p3_events.jsonl,bp35,23,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,1.0,0.1,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,41,1,1,3.0,0.3,0.5,0.5,died,0,arc3-job9-visual-first,False,1.0
20,1.0,0.3,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,41,1,5,3.0,0.15,0.4,0.25,died,0,arc3-job9-visual-first,False,1.0
40,1.0,0.475,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,41,1,7,3.0,0.175,0.275,0.125,died,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,41,1,,,,,,died,,arc3-job9-visual-first,False,
10,0.8,0.5,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,56,1,4,4.2,0.3,0.5,0.4,solved,2,arc3-job9-visual-first,True,0.8
20,0.8,0.75,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,56,1,6,6.2,0.3,0.3,0.2,solved,2,arc3-job9-visual-first,True,0.8
40,1.0,0.725,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,56,1,14,9.8,0.275,0.25,0.125,solved,2,arc3-job9-visual-first,True,1.0
0,,,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,56,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.4,0.3,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,88,1,7,8.4,0.3,0.3,0.2,solved,0,arc3-job9-visual-first,True,0.4
20,0.8,0.5,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,88,1,7,11.4,0.35,0.25,0.2,solved,0,arc3-job9-visual-first,True,0.8
40,1.0,0.7,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,88,1,12,15.0,0.25,0.25,0.125,solved,0,arc3-job9-visual-first,True,1.0
0,,,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,88,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.6,0.0,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,40,2,3,7.0,0.0,0.3,0.3,truncated,0,arc3-job9-visual-first,False,0.6
20,0.6,0.1,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,40,2,3,11.0,0.05,0.15,0.15,truncated,0,arc3-job9-visual-first,False,0.6
40,1.0,0.275,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,40,2,4,17.2,0.125,0.15,0.125,truncated,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),g50t-5849a774_p1_events.jsonl,g50t,40,2,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.6,0.0,Flash-Next (Kaggle),g50t-5849a774_p2_events.jsonl,g50t,63,1,5,7.2,0.1,0.5,0.3,solved,0,arc3-job9-visual-first,True,0.6
20,0.8,0.25,Flash-Next (Kaggle),g50t-5849a774_p2_events.jsonl,g50t,63,1,5,9.4,0.1,0.45,0.2,solved,0,arc3-job9-visual-first,True,0.8
40,1.0,0.325,Flash-Next (Kaggle),g50t-5849a774_p2_events.jsonl,g50t,63,1,5,10.4,0.05,0.3,0.125,solved,0,arc3-job9-visual-first,True,1.0
0,,,Flash-Next (Kaggle),g50t-5849a774_p2_events.jsonl,g50t,63,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.6,0.0,Flash-Next (Kaggle),g50t-5849a774_p3_events.jsonl,g50t,41,1,5,7.2,0.1,0.5,0.3,truncated,0,arc3-job9-visual-first,False,0.6
20,0.6,0.25,Flash-Next (Kaggle),g50t-5849a774_p3_events.jsonl,g50t,41,1,5,11.2,0.2,0.35,0.15,truncated,0,arc3-job9-visual-first,False,0.6
40,1.0,0.45,Flash-Next (Kaggle),g50t-5849a774_p3_events.jsonl,g50t,41,1,5,13.2,0.15,0.25,0.125,truncated,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),g50t-5849a774_p3_events.jsonl,g50t,41,1,,,,,,truncated,,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,9,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.4,0.0,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,96,2,2,8.833333333333334,0.0,0.7,0.9,truncated,0,arc3-job9-visual-first,False,0.5
20,0.6,0.0,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,96,2,4,12.166666666666666,0.0,0.7,0.55,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
40,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,96,2,4,17.0,0.0,0.5,0.3,truncated,0,arc3-job9-visual-first,False,0.8333333333333334
0,,,Flash-Next (Kaggle),lf52-271a04aa_p0_events.jsonl,lf52,96,2,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.2,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,16,1,1,8.0,0.0,0.7,0.8,solved,0,arc3-job9-visual-first,True,0.3333333333333333
0,,,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,16,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.6,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,59,2,1,8.333333333333334,0.0,0.8,1.0,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
20,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,59,2,4,10.166666666666666,0.0,0.7,0.55,truncated,0,arc3-job9-visual-first,False,0.8333333333333334
40,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,59,2,5,13.5,0.0,0.575,0.35,truncated,0,arc3-job9-visual-first,False,0.8333333333333334
0,,,Flash-Next (Kaggle),lf52-271a04aa_p1_events.jsonl,lf52,59,2,,,,,,truncated,,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,9,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.0,0.0,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,66,2,1,9.333333333333334,0.0,0.6,0.9,solved,0,arc3-job9-visual-first,True,0.16666666666666666
20,0.0,0.0,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,66,2,1,17.666666666666668,0.0,0.35,0.55,solved,0,arc3-job9-visual-first,True,0.16666666666666666
40,0.8,0.0,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,66,2,5,22.666666666666668,0.0,0.425,0.4,solved,0,arc3-job9-visual-first,True,0.8333333333333334
0,,,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,66,2,,,,,,solved,,arc3-job9-visual-first,True,
0,,,Flash-Next (Kaggle),lf52-271a04aa_p2_events.jsonl,lf52,9,3,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.2,0.0,Flash-Next (Kaggle),lf52-271a04aa_p3_events.jsonl,lf52,19,1,1,7.833333333333333,0.0,0.9,1.0,truncated,0,arc3-job9-visual-first,False,0.3333333333333333
0,,,Flash-Next (Kaggle),lf52-271a04aa_p3_events.jsonl,lf52,19,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,26,1,5,4.75,0.0,0.3,0.3,solved,0,arc3-job9-visual-first,True,0.75
20,1.0,0.05,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,26,1,7,5.25,0.1,0.25,0.2,solved,0,arc3-job9-visual-first,True,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,26,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,61,2,5,6.0,0.0,0.4,0.3,truncated,0,arc3-job9-visual-first,False,0.75
20,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,61,2,6,8.5,0.0,0.3,0.15,truncated,0,arc3-job9-visual-first,False,0.75
40,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,61,2,7,9.5,0.0,0.225,0.1,truncated,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,61,2,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,86,1,7,7.5,0.1,0.3,0.3,truncated,0,arc3-job9-visual-first,False,0.75
20,1.0,0.05,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,86,1,7,9.75,0.05,0.4,0.2,truncated,0,arc3-job9-visual-first,False,1.0
40,1.0,0.2,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,86,1,7,9.75,0.05,0.225,0.1,truncated,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,86,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,22,1,7,4.0,0.1,0.4,0.4,solved,0,arc3-job9-visual-first,True,1.0
20,1.0,0.1,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,22,1,7,4.0,0.05,0.3,0.2,solved,0,arc3-job9-visual-first,True,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,22,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,88,2,5,6.0,0.0,0.4,0.3,died,0,arc3-job9-visual-first,False,0.75
20,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,88,2,6,8.5,0.0,0.3,0.15,died,0,arc3-job9-visual-first,False,0.75
40,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,88,2,6,13.5,0.0,0.15,0.075,died,0,arc3-job9-visual-first,False,0.75
0,,,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,88,2,,,,,,died,,arc3-job9-visual-first,False,
10,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,87,2,5,6.0,0.0,0.4,0.3,truncated,2,arc3-job9-visual-first,False,0.75
20,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,87,2,6,8.5,0.0,0.3,0.15,truncated,2,arc3-job9-visual-first,False,0.75
40,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,87,2,7,9.5,0.0,0.225,0.1,truncated,2,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,87,2,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.75,0.0,Flash-Next (Kaggle),ls20-9607627b_p3_events.jsonl,ls20,22,1,5,4.5,0.1,0.3,0.3,truncated,0,arc3-job9-visual-first,False,0.75
20,1.0,0.05,Flash-Next (Kaggle),ls20-9607627b_p3_events.jsonl,ls20,22,1,5,5.0,0.1,0.3,0.2,truncated,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p3_events.jsonl,ls20,22,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.4,0.0,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,35,1,5,7.833333333333333,0.2,0.3,0.3,solved,0,arc3-job9-visual-first,True,0.5
20,0.8,0.1,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,35,1,5,9.666666666666666,0.1,0.25,0.25,solved,0,arc3-job9-visual-first,True,0.8333333333333334
0,,,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,35,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.6,0.0,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,82,2,3,7.5,0.0,0.3,0.3,truncated,0,arc3-job9-visual-first,False,0.5
20,0.6,0.0,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,82,2,3,11.833333333333334,0.1,0.3,0.25,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
40,0.6,0.0,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,82,2,4,18.5,0.075,0.175,0.15,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,82,2,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.6,0.0,Flash-Next (Kaggle),sk48-d8078629_p1_events.jsonl,sk48,75,1,3,7.333333333333333,0.0,0.3,0.3,truncated,0,arc3-job9-visual-first,False,0.5
20,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p1_events.jsonl,sk48,75,1,6,11.333333333333334,0.0,0.2,0.2,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
40,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p1_events.jsonl,sk48,75,1,6,18.0,0.0,0.1,0.1,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sk48-d8078629_p1_events.jsonl,sk48,75,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,80,1,4,6.333333333333333,0.0,0.4,0.4,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
20,0.8,0.15,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,80,1,5,9.666666666666666,0.15,0.2,0.2,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
40,0.8,0.35,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,80,1,5,16.333333333333332,0.075,0.1,0.1,truncated,0,arc3-job9-visual-first,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,80,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.6,0.0,Flash-Next (Kaggle),sk48-d8078629_p3_events.jsonl,sk48,19,1,2,7.333333333333333,0.1,0.3,0.3,truncated,0,arc3-job9-visual-first,False,0.5
0,,,Flash-Next (Kaggle),sk48-d8078629_p3_events.jsonl,sk48,19,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,2,,0.0,0.9,0.8,died,0,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,2,,0.0,0.55,0.45,died,0,arc3-job9-visual-first,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,10,,0.0,0.3,0.35,died,0,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,,,,,,died,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,55,1,1,,0.0,0.4,0.8,truncated,2,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,55,1,1,,0.0,0.3,0.6,truncated,2,arc3-job9-visual-first,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,55,1,2,,0.0,0.2,0.375,truncated,2,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,55,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.5,0.6,died,0,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.3,0.35,died,0,arc3-job9-visual-first,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.225,0.275,died,0,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.5,0.7,died,2,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,2,,0.0,0.3,0.55,died,2,arc3-job9-visual-first,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,2,,0.0,0.15,0.3,died,2,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,41,1,2,,0.0,0.7,0.6,truncated,4,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,41,1,2,,0.0,0.4,0.55,truncated,4,arc3-job9-visual-first,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,41,1,2,,0.0,0.2,0.3,truncated,4,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,41,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.7,0.9,died,0,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,2,,0.0,0.55,0.75,died,0,arc3-job9-visual-first,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,3,,0.0,0.3,0.5,died,0,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,60,1,1,,0.0,0.3,0.8,truncated,2,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,60,1,1,,0.0,0.2,0.5,truncated,2,arc3-job9-visual-first,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,60,1,1,,0.0,0.1,0.25,truncated,2,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,60,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p3_events.jsonl,tn36,33,1,1,,0.0,0.8,0.9,truncated,0,arc3-job9-visual-first,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p3_events.jsonl,tn36,33,1,1,,0.0,0.5,0.75,truncated,0,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p3_events.jsonl,tn36,33,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.6,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,80,1,2,6.4,0.0,0.3,0.3,solved,0,arc3-job9-visual-first,True,0.6
20,1.0,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,80,1,2,7.0,0.0,0.25,0.25,solved,0,arc3-job9-visual-first,True,1.0
40,1.0,0.075,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,80,1,5,7.0,0.05,0.125,0.125,solved,0,arc3-job9-visual-first,True,1.0
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,80,1,,,,,,solved,,arc3-job9-visual-first,True,
10,0.4,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,70,2,7,8.4,0.0,0.3,0.2,died,0,arc3-job9-visual-first,False,0.4
20,0.8,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,70,2,7,11.6,0.0,0.3,0.2,died,0,arc3-job9-visual-first,False,0.8
40,1.0,0.0,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,70,2,7,11.8,0.0,0.225,0.125,died,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,70,2,,,,,,died,,arc3-job9-visual-first,False,
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p0_events.jsonl,wa30,1,2,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.2,0.7,Flash-Next (Kaggle),wa30-ee6fef47_p1_events.jsonl,wa30,171,1,10,9.0,0.6,0.1,0.1,truncated,0,arc3-job9-visual-first,False,0.2
20,1.0,0.6,Flash-Next (Kaggle),wa30-ee6fef47_p1_events.jsonl,wa30,171,1,10,10.2,0.4,0.25,0.25,truncated,0,arc3-job9-visual-first,False,1.0
40,1.0,0.475,Flash-Next (Kaggle),wa30-ee6fef47_p1_events.jsonl,wa30,171,1,10,10.2,0.25,0.175,0.125,truncated,0,arc3-job9-visual-first,False,1.0
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p1_events.jsonl,wa30,171,1,,,,,,truncated,,arc3-job9-visual-first,False,
10,0.8,0.3,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,89,1,3,5.8,0.1,0.4,0.4,solved,0,arc3-job9-visual-first,True,0.8
20,1.0,0.25,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,89,1,5,6.6,0.15,0.3,0.25,solved,0,arc3-job9-visual-first,True,1.0
40,1.0,0.275,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,89,1,6,6.6,0.125,0.15,0.125,solved,0,arc3-job9-visual-first,True,1.0
0,,,Flash-Next (Kaggle),wa30-ee6fef47_p2_events.jsonl,wa30,89,1,,,,,,solved,,arc3-job9-visual-first,True,
