N,button_coverage,dead_repeat_rate,family,file,game,length,level,longest_streak,mean_first_try,nochange_rate,novel_alt_frac,novel_frac,outcome,retry,run,solved,valid_coverage
40,1.0,0.1,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,56,1,7,4.0,0.05,0.2,0.1,truncated,0,arc3-job1-control,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p0_events.jsonl,ls20,56,1,,,,,,truncated,,arc3-job1-control,False,
10,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,81,1,7,4.0,0.1,0.4,0.4,truncated,0,arc3-job1-control,False,1.0
20,1.0,0.1,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,81,1,7,4.0,0.05,0.25,0.2,truncated,0,arc3-job1-control,False,1.0
40,1.0,0.225,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,81,1,7,4.0,0.05,0.225,0.1,truncated,0,arc3-job1-control,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p1_events.jsonl,ls20,81,1,,,,,,truncated,,arc3-job1-control,False,
10,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,47,1,4,4.25,0.0,0.4,0.4,solved,0,arc3-job1-control,True,1.0
20,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,47,1,4,4.25,0.0,0.3,0.2,solved,0,arc3-job1-control,True,1.0
40,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,47,1,4,4.25,0.025,0.15,0.1,solved,0,arc3-job1-control,True,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,47,1,,,,,,solved,,arc3-job1-control,True,
10,0.5,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,57,2,5,6.25,0.0,0.3,0.2,truncated,0,arc3-job1-control,False,0.5
20,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,57,2,7,8.0,0.0,0.35,0.2,truncated,0,arc3-job1-control,False,1.0
40,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,57,2,7,8.0,0.0,0.25,0.1,truncated,0,arc3-job1-control,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p2_events.jsonl,ls20,57,2,,,,,,truncated,,arc3-job1-control,False,
10,1.0,0.0,Flash-Next (Kaggle),ls20-9607627b_p3_events.jsonl,ls20,25,1,4,4.75,0.1,0.4,0.4,truncated,0,arc3-job1-control,False,1.0
20,1.0,0.15,Flash-Next (Kaggle),ls20-9607627b_p3_events.jsonl,ls20,25,1,4,4.75,0.05,0.2,0.2,truncated,0,arc3-job1-control,False,1.0
0,,,Flash-Next (Kaggle),ls20-9607627b_p3_events.jsonl,ls20,25,1,,,,,,truncated,,arc3-job1-control,False,
10,0.6,0.0,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,43,1,4,7.333333333333333,0.0,0.3,0.3,truncated,0,arc3-job1-control,False,0.5
20,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,43,1,4,11.166666666666666,0.0,0.2,0.2,truncated,0,arc3-job1-control,False,0.6666666666666666
40,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,43,1,4,17.833333333333332,0.0,0.1,0.1,truncated,0,arc3-job1-control,False,0.6666666666666666
0,,,Flash-Next (Kaggle),sk48-d8078629_p0_events.jsonl,sk48,43,1,,,,,,truncated,,arc3-job1-control,False,
10,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p1_events.jsonl,sk48,34,1,4,5.0,0.2,0.5,0.5,truncated,0,arc3-job1-control,False,0.8333333333333334
20,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p1_events.jsonl,sk48,34,1,4,6.666666666666667,0.1,0.25,0.25,truncated,0,arc3-job1-control,False,0.8333333333333334
0,,,Flash-Next (Kaggle),sk48-d8078629_p1_events.jsonl,sk48,34,1,,,,,,truncated,,arc3-job1-control,False,
10,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,134,1,3,7.166666666666667,0.0,0.4,0.4,solved,0,arc3-job1-control,True,0.6666666666666666
20,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,134,1,5,10.5,0.0,0.2,0.2,solved,0,arc3-job1-control,True,0.6666666666666666
40,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,134,1,6,17.166666666666668,0.0,0.1,0.1,solved,0,arc3-job1-control,True,0.6666666666666666
0,,,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,134,1,,,,,,solved,,arc3-job1-control,True,
0,,,Flash-Next (Kaggle),sk48-d8078629_p2_events.jsonl,sk48,1,2,,,,,,truncated,,arc3-job1-control,False,
10,0.8,0.0,Flash-Next (Kaggle),sk48-d8078629_p3_events.jsonl,sk48,42,1,3,6.833333333333333,0.2,0.5,0.5,truncated,0,arc3-job1-control,False,0.8333333333333334
20,0.8,0.2,Flash-Next (Kaggle),sk48-d8078629_p3_events.jsonl,sk48,42,1,5,8.5,0.1,0.25,0.25,truncated,0,arc3-job1-control,False,0.8333333333333334
40,0.8,0.325,Flash-Next (Kaggle),sk48-d8078629_p3_events.jsonl,sk48,42,1,7,11.833333333333334,0.2,0.15,0.15,truncated,0,arc3-job1-control,False,0.8333333333333334
0,,,Flash-Next (Kaggle),sk48-d8078629_p3_events.jsonl,sk48,42,1,,,,,,truncated,,arc3-job1-control,False,
