ts_utc,gpu_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_power_w,cpu_util_pct,mem_used_mib,mem_total_mib
2026-07-19T02:08:24Z,0,0,97887,47.20,0.1,4282,181114
2026-07-19T02:08:44Z,0,0,97887,47.20,0.0,4279,181114
2026-07-19T02:09:04Z,0,0,97887,47.18,0.1,4313,181114
2026-07-19T02:09:24Z,0,0,97887,47.19,0.1,4330,181114
2026-07-19T02:09:44Z,0,0,97887,47.18,0.0,4309,181114
2026-07-19T02:10:04Z,0,0,97887,47.19,0.0,4316,181114
2026-07-19T02:10:24Z,0,0,97887,47.20,0.1,4371,181114
2026-07-19T02:10:44Z,0,0,97887,47.19,0.0,4314,181114
2026-07-19T02:11:04Z,0,0,97887,47.18,0.1,4329,181114
2026-07-19T02:11:24Z,0,0,97887,47.19,0.1,4317,181114
2026-07-19T02:11:44Z,0,0,97887,47.21,0.0,4313,181114
2026-07-19T02:12:04Z,0,0,97887,47.18,0.0,4304,181114
2026-07-19T02:12:24Z,0,0,97887,47.18,0.1,4302,181114
2026-07-19T02:12:44Z,0,0,97887,47.19,0.0,4300,181114
2026-07-19T02:13:04Z,0,0,97887,47.18,0.1,4315,181114
2026-07-19T02:13:24Z,0,0,97887,47.21,0.1,4357,181114
2026-07-19T02:13:44Z,0,0,97887,47.18,0.0,4296,181114
2026-07-19T02:14:04Z,0,0,97887,47.21,0.0,4302,181114
2026-07-19T02:14:24Z,0,0,97887,47.19,0.1,4295,181114
2026-07-19T02:14:44Z,0,0,97887,47.18,0.1,4313,181114
2026-07-19T02:15:04Z,0,0,97887,47.21,0.1,4306,181114
2026-07-19T02:15:24Z,0,0,97887,47.19,0.1,4322,181114
2026-07-19T02:15:45Z,0,0,97887,47.18,0.1,4295,181114
2026-07-19T02:16:05Z,0,0,97887,47.22,0.0,4291,181114
2026-07-19T02:16:25Z,0,0,97887,47.21,0.0,4317,181114
2026-07-19T02:16:45Z,0,0,97887,47.20,0.1,4298,181114
2026-07-19T02:17:05Z,0,0,97887,47.21,0.1,4313,181114
2026-07-19T02:17:25Z,0,0,97887,47.22,0.0,4317,181114
2026-07-19T02:17:45Z,0,0,97887,47.21,0.1,4317,181114
2026-07-19T02:18:05Z,0,0,97887,47.18,0.0,4307,181114
2026-07-19T02:18:25Z,0,0,97887,47.22,0.0,4297,181114
